content_traduzido,sentiment,sentiment_polarity,spacy_lemma
caramba vai fazer minutos nada alguem responder so recebo respostas automaticas nubank anos atras impecavel relacao atendimento cliente agora so jesus infelizmente nao primeira vez demora acontece ta ficando igual pior outros bancos continuar assim cancelo fico outra instituicao ate beneficio vou apegar nubank pra ne tempo importava cliente,anger,negative,"['caramba', 'fazer', 'minuto', 'nada', 'alguir', 'responder', 'receber', 'resposta', 'automatico', 'nubank', 'ano', 'atra', 'impecavel', 'relacao', 'atendimento', 'cliente', 'agora', 'jesus', 'infelizmente', 'nao', 'primeiro', 'vez', 'demor', 'acontecer', 'ficar', 'igual', 'mau', 'banco', 'continuar', 'assim', 'cancelo', 'fico', 'instituicao', 'apegar', 'nubank', 'ne', 'tempo', 'importar', 'cliente']"
sempre gostei experiencia nubank app uns tempos pra ca aplicativo apresentando muita instabilidade principalmente pix ja alguns problemas transacao nao aprovada hora sequencia nao conseguir repetir operacao tambem tendo problemas guardar resgatar dinheiro hora nao aprova logo seguida completa operacao forma duplicada bagunca tambem deveriam mudar forma abertura app padrao,disgust,negative,"['sempre', 'gostar', 'experiencia', 'nubank', 'app', 'tempo', 'ca', 'aplicativo', 'apresentar', 'instabilidade', 'principalmente', 'pix', 'ja', 'problema', 'transacao', 'aprovar', 'horo', 'sequencia', 'conseguir', 'repetir', 'operacao', 'tamber', 'ter', 'problema', 'guardar', 'resgatar', 'dinheiro', 'hora', 'aprovar', 'logo', 'seguida', 'completo', 'operacao', 'forma', 'duplicar', 'tambem', 'dever', 'mudar', 'forma', 'aberturar', 'App', 'Padrao']"
apos ultima atualizacao aplicativo horrivel nao abrindo fica carregando nao abre ir limpar cache limpar memoria fazer processo login todo novo pra conseguir acessar app meses continua jeito nao corrigem nada dificil usar app ate evitando depositar pois preciso fazer pix olhar limites rapidamente pode desistir nunca funciona ai ficar desinstalando reinstalando pra funcionar,disgust,negative,"['apo', 'ultima', 'atualizacao', 'aplicativo', 'horrivel', 'nao', 'abrir', 'ficar', 'carregar', 'abrir', 'ir', 'limpar', 'cache', 'limpar', 'memoria', 'fazer', 'processo', 'login', 'novo', 'conseguir', 'acessar', 'mês', 'continuar', 'jeito', 'corrigem', 'dificil', 'usar', 'app', 'evitar', 'depositar', 'preciso', 'fazer', 'pix', 'olhar', 'limite', 'rapidamente', 'poder', 'desistir', 'nunca', 'funcionar', 'ficar', 'desinstalar', 'reinstalar', 'funcionar']"
app bom uns tempos pra ca ficando impossivel utilizar vou abrir app fica travado vezes passo meia hora tentando abrir nada comerciante visto cartoes nubank apresentando falha sistema aproximacao adesivo frente cartoes maioria soltando descolando atrapalhando insercao cartoes maquininha tambem chega convite pra gente entrar programas violeta gente nunca resp,disgust,negative,"['app', 'bom', 'tempo', 'ficar', 'impossivel', 'utilizar', 'abrir', 'app', 'ficar', 'travado', 'vez', 'passo', 'hora', 'tentar', 'abrir', 'comerciante', 'ver', 'cartoes', 'nubankr', 'apresentar', 'falha', 'sistema', 'aproximacao', 'adesivo', 'frente', 'cartoes', 'maioria', 'soltar', 'descolar', 'atrapalhar', 'tambem', 'chegar', 'convite', 'gente', 'entrar', 'programa', 'violeto', 'gente', 'nunca', 'respr']"
excelente aplicativo inteligente pratico eficiente interface grafica otima criei conta nubank gosto ate pagar todas contas mensais facilidade facil visualizacao assistente pagamentos ficou show bola mostra todos agendamentos ainda somatoria trazendo clara visao receitas despesas,happiness,positive,"['excelente', 'aplicativo', 'inteligente', 'pratico', 'eficiente', 'interface', 'grafico', 'otimo', 'criei', 'contar', 'nubank', 'gosto', 'pagar', 'conta', 'mensal', 'facilidade', 'facil', 'visualizacao', 'assistente', 'pagamento', 'ficar', 'show', 'mostrar', 'agendamento', 'ainda', 'somator', 'trazer', 'claro', 'visao', 'receita', 'despesa']"
faz ano uso nubank quase nunca deu nenhum problema exceto ultimamente sempre entro app aparece mensagem versao aplicativo desatualizada breve versao app nao sera suportada sendo nao opcao pra atualizar aqui play store dispositivo samsung j espero resolvam,sadness,positive,"['fazer', 'ano', 'uso', 'nubank', 'quase', 'nunca', 'dar', 'problema', 'ultimamente', 'sempre', 'entro', 'app', 'aparecer', 'mensagem', 'versao', 'aplicativo', 'desatualizar', 'breve', 'versao', 'app', 'sera', 'suportar', 'opcao', 'atualizar', 'aqui', 'play', 'store', 'dispositivo', 'samsung', 'j', 'esperar', 'resolr']"
interface facil usar transparencia todas compras surpresas desagradaveis apenas algumas vezes aplicativo fica travando hora fazer alguns pagamentos adorei nubank usar sempre preciso dai dia,sadness,positive,"['interface', 'facil', 'usar', 'transparencia', 'compra', 'surpresa', 'desagradavel', 'apenas', 'vez', 'aplicativo', 'ficar', 'travar', 'hora', 'fazer', 'pagamento', 'adorar', 'nubank', 'usar', 'sempre', 'preciso', 'dia']"
favor deixem opcao desativar app conteudo sensivel ocultar conteudo prints gravacoes tela precisando bater print sai todo preto entendo questoes seguranca quero preciso bater print transacoes vezes entao bom ter opcao desativar recurso reativar nao precisar,disgust,negative,"['favor', 'deixar', 'opcao', 'desativar', 'conteudo', 'sensivel', 'ocultar', 'tela', 'precisar', 'bater', 'print', 'sair', 'preto', 'enter', 'seguranca', 'querer', 'preciso', 'bater', 'print', 'transacoes', 'vez', 'entao', 'bom', 'ter', 'opcao', 'desativar', 'recurso', 'reativar', 'precisar']"
acredito todas coisas podem melhorar nao parar evoluir fala mal nubank nao conheceu cartao credito antes top acredito evolucao falta programa milhagem incorporarem acabou pra concorrencia,happiness,positive,"['acreditar', 'coisa', 'poder', 'melhorar', 'parar', 'evoluir', 'falar', 'mal', 'nubankr', 'conhecer', 'cartao', 'credito', 'antes', 'acreditar', 'evolucao', 'faltar', 'programa', 'milhagem', 'incorporar', 'acabar', 'concorrencia']"
apos ultima atualizacao app ficou lento bugs pior coisa eh ter impossibilitado opcao print captura tela pois algum problema nubank qualquer outro orgao nao conseguirei ter prova ja tal opcao retirada favor corrigir grato,disgust,negative,"['apo', 'ultima', 'atualizacao', 'App', 'ficar', 'lento', 'bugs', 'mau', 'coisa', 'eh', 'impossibilitar', 'opcao', 'print', 'captura', 'telo', 'problema', 'nubankr', 'orgao', 'conseguirar', 'ter', 'prova', 'opcao', 'retirada', 'favor', 'corrigir', 'grato']"
ter conta otimo super pratico facil app precisa melhorar vive ar sempre erro pix sempre erro ja passei varios apertos precisar realizar pagamento app travar deixando situacoes extremamente desconfortaveis sempre some valor conta reiniciar varias vezes pra voltar aparecer suporte bem lento pra dar resposta tambem,disgust,negative,"['ter', 'conta', 'otimo', 'super', 'pratico', 'facil', 'app', 'precisar', 'melhorar', 'viver', 'ar', 'sempre', 'erro', 'pix', 'sempre', 'erro', 'passar', 'vario', 'aperto', 'precisar', 'realizar', 'pagamento', 'app', 'travar', 'deixar', 'situacoes', 'extremamente', 'desconfortavel', 'sempre', 'some', 'valor', 'contar', 'reiniciar', 'vario', 'vez', 'voltar', 'aparecer', 'suporte', 'bem', 'lento', 'dar', 'resposta', 'tambem']"
app funciona bem horrivel limite ja faz quase ano nao sai reais ja pedi varias vezes aumento nao aumentam ja tou cancelar assim so perdem clientes todo mes pago nunca aumentam vezes gente precisa fazer compra nao pode entao so dei estrela,disgust,negative,"['app', 'funcionar', 'bem', 'horrivel', 'limite', 'fazer', 'quase', 'ano', 'nao', 'sair', 'real', 'pedir', 'vez', 'aumento', 'aumentar', 'tar', 'cancelar', 'assim', 'perder', 'cliente', 'todo', 'mes', 'pagar', 'nunca', 'aumentar', 'vez', 'gente', 'precisar', 'fazer', 'compra', 'nao', 'poder', 'entao', 'dar']"
sistema otimo cliente desde comeco fizeram atualizacao nao conseguiram corrigir bug cliente nao onseguindo encaminhar comprovante pix rosto sobrancelha levantada,sadness,positive,"['sistema', 'otimo', 'cliente', 'comeco', 'fazer', 'atualizacao', 'conseguir', 'corrigir', 'cliente', 'onseguir', 'encaminhar', 'comprovante', 'pix', 'rosto', 'sobrancelho', 'levantar']"
cada dia passa app fica cada vez pior pesado demora abrir abre trava homem decepcionado pele clara,anger,negative,"['dia', 'passar', 'App', 'ficar', 'mau', 'pesar', 'abrir', 'abrir', 'trar', 'homem', 'decepcionar', 'pele', 'claro']"
app bom facil usar porem to pouco decepcionada ja anos cartao porem nao aumentaram limite credito ate hoje pago sempre dias ate antes data vencimento vejo pessoas fizeram cartao recentemente ja limite bem assim rosto sorriso maroto,sadness,positive,"['app', 'bom', 'facil', 'usar', 'por', 'pouco', 'decepcionar', 'ano', 'cartao', 'por', 'nao', 'aumentar', 'limite', 'credito', 'hoje', 'pagar', 'sempre', 'dias', 'antes', 'datar', 'vencimento', 'pessoa', 'fazer', 'cartao', 'recentemente', 'limite', 'bem', 'assim', 'rosto', 'sorriso', 'maroto']"
sempre pagos faturas dia nunca atrasei sequer emprestimo tambem sempre pago adiantado nunca atrasei sequer pagamento limite cartao nao sai rastro nunca deram limite cartao porque uso bastante cartao faltando apenas parcelas emprestimo nao liberam valores so esperando acabar todos pagamentos vou cancelar conta,anger,negative,"['sempre', 'pagar', 'faturo', 'dia', 'nunca', 'atrasar', 'sequer', 'emprestimo', 'tambem', 'sempre', 'pagar', 'adiantar', 'nunca', 'atrasar', 'sequer', 'pagamento', 'limite', 'cartao', 'sair', 'rastro', 'nunca', 'dar', 'limite', 'cartao', 'uso', 'bastante', 'cartao', 'faltar', 'apenas', 'parcela', 'emprestimo', 'liber', 'valor', 'esperar', 'acabar', 'pagamento', 'cancelar', 'conto']"
app cartao sao otimos ja ha tempos cada vez so melhora diminuindo uso pois consegui infinite xp caixinhas sao show buscador boleto excelente alteracao conta remunerada pena clientes antigos nao recebem beneficios bons investimento nuinvest ter vantagens geral bom subi estrela,sadness,positive,"['app', 'cartao', 'otimos', 'ha', 'tempo', 'melhorar', 'diminuir', 'uso', 'conseguir', 'infinitar', 'caixinha', 'sao', 'show', 'buscador', 'boleto', 'excelente', 'alteracao', 'contar', 'remunerar', 'pena', 'cliente', 'antigo', 'receber', 'beneficio', 'bom', 'investimento', 'nuinvest', 'ter', 'vantagem', 'geral', 'bom', 'subi', 'estrela']"
achei aplicativo otimo rapido facil fazer transferencias receber transferencias nao nada reclamar relacao problemas muitos apresentam nao problema relacao alguma funcao app exceto entro app erro ai tentar novamente resto outro problema duvida reclamacao app bom,sadness,positive,"['achar', 'aplicativo', 'otimo', 'rapir', 'facil', 'fazer', 'transferencia', 'receber', 'transferencia', 'reclamar', 'problema', 'apresentar', 'problema', 'relacao', 'funcao', 'app', 'entro', 'erro', 'tentar', 'novamente', 'resto', 'problema', 'duvidar', 'bom']"
aplicativo ate bom porem apresenta absurdas instabilidades so vi outro banco pior experiencia vc fazer portabilidade salario nubank muita dificuldade voce tera cancelar servico,disgust,negative,"['aplicativo', 'bom', 'por', 'apresentar', 'absurr', 'instabilidade', 'ver', 'banco', 'mau', 'experienciar', 'fazer', 'portabilidade', 'salario', 'nubankr', 'dificuldade', 'voce', 'tera', 'cancelar', 'servico']"
app geral bom porem ultimos meses anda apresentando muitas falhas lentidao hora entrar nele exemplo preciso colocar senha umas vezes pra poder entrar aplicativo disso ate interface carregar ja outro tempao favor corrijam problemas desempenho,disgust,negative,"['app', 'geral', 'bom', 'por', 'ultimos', 'mês', 'andar', 'apresentar', 'falha', 'lentidao', 'hora', 'entrar', 'exemplo', 'preciso', 'colocar', 'senhar', 'vez', 'poder', 'entrar', 'aplicativo', 'interface', 'carregar', 'tempao', 'favor', 'corrijam', 'problema', 'desempenho']"
horrivel preciso fazer algum pagamento aplicativo so funciona quer nada so carrega infinitamente nao entra realmente ta sendo banco horrivel ja testei internet ate troquei celular continua assim so decepcao,disgust,negative,"['horrivel', 'preciso', 'fazer', 'pagamento', 'aplicativo', 'funcionar', 'querer', 'carregar', 'infinitamente', 'entrar', 'realmente', 'banco', 'horrivel', 'testei', 'Internet', 'troquei', 'celular', 'continuar', 'assim', 'decepcao']"
nao aparece cartao virtual informacoes cartao fisico nao consigo ver informacoes efetuar compras internet dando erro conexao sendo conectado internet otima qualidade boa velocidade app ja atualizado assim erro persiste,disgust,negative,"['nao', 'aparecer', 'cartao', 'virtual', 'informacoes', 'cartao', 'fisico', 'nao', 'consigo', 'ver', 'informacoes', 'efetuar', 'compra', 'Internet', 'dar', 'erro', 'conexao', 'conectar', 'otimo', 'qualidade', 'bom', 'velocidade', 'app', 'atualizar', 'assim', 'erro', 'persistir']"
ultimamente tendo bug app principalmente dias fechamento fatura tela fica tremendo aparece valor duas faturas atual anterior somadas precisa otimizar app urgente,disgust,negative,"['ultimamente', 'app', 'principalmente', 'dia', 'fechamento', 'fatura', 'telo', 'ficar', 'tremer', 'aparecer', 'valor', 'fatura', 'atual', 'anterior', 'somada', 'precisar', 'otimizar', 'app', 'urgente']"
quero deixar sugestao possivel alterar parte estetica comprovantes transferencia numeros sao pequenos sempre fico cacando valor transacao sugestao pra deixar bonito acessivel vezes envio comprovante pra pessoas idade nao conseguem identificar valor conta tamanho valores apresentados comprovantes,neutral,neutral,"['querer', 'deixar', 'sugestao', 'possivel', 'alterar', 'parte', 'estetico', 'comprovante', 'transferenciar', 'numero', 'pequeno', 'sempre', 'fico', 'cacando', 'valor', 'transacao', 'sugestao', 'deixar', 'bonito', 'acessivel', 'vez', 'envio', 'comprovante', 'pessoa', 'idade', 'conseguir', 'identificar', 'valor', 'contar', 'tamanho', 'valor', 'apresentar', 'comprovante']"
aplicativo bom porem travando nao consigo entrar app tela fica branca girando atualizando chego estabelecimento quero pagar via pix passo vergonha,disgust,negative,"['aplicativo', 'bom', 'por', 'travar', 'consigo', 'entrar', 'tela', 'ficar', 'branco', 'girar', 'atualizar', 'chegar', 'estabelecimento', 'querer', 'pagar', 'via', 'pix', 'passo', 'vergonha']"
passei situacao complicada durante tempo nao pude pagar contas senti banco nao compreensivo ja sempre paguei contas dia ate dia imprevisto hoje dividas quitadas nao possibilidade reaver cartao credito motivo vou atras empresa acolha suporte necessario,disgust,negative,"['passar', 'complicar', 'tempo', 'pude', 'pagar', 'conta', 'sentir', 'banco', 'nao', 'compreensivo', 'sempre', 'paguei', 'conta', 'dia', 'dia', 'imprevisto', 'hoje', 'divir', 'quitar', 'possibilidade', 'reaver', 'cartao', 'credito', 'motivo', 'atra', 'empresa', 'acolha', 'suporte', 'necessario']"
aplicativo bom antigamente dificil lidar falta bom limite atualmente limite bom poderia pouco maior ja fazer algumas coisa nubank recomendo,happiness,positive,"['aplicativo', 'bom', 'antigamente', 'dificil', 'lidar', 'faltar', 'bom', 'limite', 'atualmente', 'limite', 'bom', 'poder', 'pouco', 'grande', 'fazer', 'coisa', 'nubank', 'recomer']"
app cheio erros constantes nao consigo entrar conta ta dando erro conexao sendo internet funcionando normalmente ja tentei mudar senha tudo nao chega nada email nubank nao nenhum tipo apoio pra tentar resolver problema realmente decepcionante,disgust,negative,"['app', 'cheio', 'erro', 'constante', 'consigo', 'entrar', 'conta', 'dar', 'erro', 'conexao', 'internet', 'funcionar', 'normalmente', 'tentar', 'mudar', 'senhar', 'nao', 'chegar', 'email', 'nubankr', 'tipo', 'apoio', 'tentar', 'resolver', 'problema', 'realmente', 'decepcionante']"
abri conta finalizei toda documentacao acessar aplicativo aparece mensagem dizendo pra mim aguardar estao verificando informacoes processo demora torno h ja h tentando entrar conta ainda aparece mesma mensagem alguma posicao sobre nubank,anger,negative,"['abri', 'conto', 'finalizei', 'documentacao', 'acessar', 'aplicativo', 'aparecer', 'mensagem', 'dizer', 'aguardar', 'estao', 'verificar', 'informacoes', 'processo', 'demora', 'torno', 'tentar', 'entrar', 'conta', 'ainda', 'aparecer', 'mesmo', 'mensagem', 'posicao', 'nubank']"
nao conseguindo fazer nada aplicativo tudo bloqueado confirmacao realmente pessoa nao funcionando toda hora dando erro entro contato assistencia nao resolvem problema falam vao entrar contato dias ate hoje nada,anger,negative,"['conseguir', 'fazer', 'aplicativo', 'bloquear', 'confirmacao', 'realmente', 'pessoo', 'nao', 'funcionar', 'hora', 'dar', 'erro', 'entro', 'contato', 'assistencia', 'nao', 'resolver', 'problema', 'falar', 'entrar', 'contato', 'dia', 'hoje']"
gostando bastante aplicativo nubank unico inconveniente achei ate agora nao sacar cryptomoedas ficarem sobre custodia responsabilidade comprar vender pouco tempo talvez valha pena nao sei quanto seguro ficar cryptos,fear,negative,"['gostar', 'bastante', 'aplicativo', 'nubankr', 'unico', 'inconveniente', 'achar', 'agora', 'sacar', 'cryptomoeda', 'ficar', 'custodia', 'responsabilidade', 'comprar', 'vender', 'tempo', 'talvez', 'valha', 'pena', 'saber', 'quanto', 'seguro', 'ficar', 'crypto']"
mt estranho travando nivel hard nunca pensei nubank pensei celular entanto demais estao funcionando normalmente tentando fazer reconhecimento impossivelmente desgastante,disgust,negative,"['mt', 'estranho', 'travar', 'nivel', 'hard', 'nunca', 'pensar', 'pensar', 'celular', 'entanto', 'demais', 'estao', 'funcionar', 'normalmente', 'tentar', 'fazer', 'reconhecimento', 'impossivelmente', 'desgastante']"
horrivel paguei boleto deposito dia ainda nao caiu suporte nao resolver nada disso vou esperar dinheiro cair ja cancelei cartao credito vou fechar conta cancelar seguro vida nao recomendo ninguem so dor cabeca quero cliente dessa empresa horrivel,anger,negative,"['horrivel', 'paguei', 'boleto', 'deposito', 'dia', 'ainda', 'cair', 'suporte', 'resolver', 'esperar', 'dinheiro', 'cair', 'cancelei', 'cartao', 'credito', 'fechar', 'conta', 'cancelar', 'seguro', 'vida', 'nao', 'recomendo', 'dor', 'cabecir', 'querer', 'cliente', 'empresa', 'horrivel']"
app demorando pra entrar fico tentando varias vezes nada ate reiniciar celular pra conseguir entrar urgencia fazer oix pagamento etc nao consegue,disgust,negative,"['app', 'demorar', 'entrar', 'fico', 'tentar', 'vez', 'reiniciar', 'celular', 'conseguir', 'entrar', 'urgencia', 'fazer', 'oix', 'pagamento', 'etc', 'nao', 'conseguir']"
gostei app simples mexer tal ta travando pouco celular net nele nao boa demora demais analise limite limite bem pouco app ta parabens,sadness,positive,"['gostar', 'app', 'simples', 'mexer', 'tal', 'ta', 'travar', 'pouco', 'celular', 'em et', 'nao', 'bom', 'demora', 'analise', 'limite', 'limite', 'bem', 'pouco', 'app', 'parabem']"
infelizmente nao possui tantas boas vantagens frente outros concorrentes resolver problemas nao ajudou cobrou multa fatura paguei antes vencimento infelizmente nao tantas boas experiencias conta,disgust,negative,"['infelizmente', 'nao', 'possuir', 'bom', 'vantagem', 'frente', 'concorrente', 'resolver', 'problema', 'ajudar', 'cobrar', 'multa', 'fatura', 'paguei', 'antes', 'vencimento', 'infelizmente', 'nao', 'bom', 'experiencias', 'contar']"
alguem ajuda aparece mim nubank algo errado sempre boto login porque nada saiu app diz pra verificar informacoes estao certas ja conferi varias vezes ultimo email falou sucesso confirmacao identidade,fear,negative,"['alguir', 'ajuda', 'aparecer', 'nubankr', 'algo', 'errar', 'sempre', 'boto', 'login', 'sair', 'dizer', 'verificar', 'informacoes', 'estao', 'vario', 'vez', 'ultimo', 'email', 'falar', 'sucesso', 'confirmacao', 'identidade']"
melhor instituicao pais ja anos so felicidades nubank sempre ajudou precisei emprestimo cartao credito anuidade atendimento otimo nao reclamar super recomendo nubank parabens,happiness,positive,"['bom', 'instituicao', 'pai', 'ano', 'felicidade', 'sempre', 'ajudar', 'precisei', 'emprestimo', 'cartao', 'credito', 'anuidade', 'atendimento', 'otimo', 'nao', 'reclamar', 'super', 'recomendo', 'nubank', 'parabem']"
biometria facial autorizar aparelho nunca funciona comigo tentando celulares diferentes atendimento chat tambem confuso sempre passando instrucoes nao correspondem app mostra pra mim fim contas habilitar app preciso aguardar dias uteis atendimento via email,disgust,negative,"['biometr', 'facial', 'autorizar', 'aparelho', 'nunca', 'funcionar', 'comigo', 'tentar', 'celular', 'atendimento', 'chat', 'tambem', 'confuso', 'sempre', 'passar', 'corresponder', 'mostrar', 'fim', 'conta', 'habilitar', 'app', 'preciso', 'aguardar', 'dia', 'utel', 'atendimento', 'ver', 'email']"
boa tarde desde instalei nubank nunca problema acessar comprar cartao fisico abrir aplicativo hoje dando erro nao consigo entrar app alguem sabe informar passando alguma instabilidade coisa desse tipo,sadness,positive,"['bom', 'tarde', 'instalei', 'nubankr', 'nunca', 'problema', 'acessar', 'comprar', 'cartao', 'fisico', 'abrir', 'aplicativo', 'hoje', 'dar', 'erro', 'nao', 'consigo', 'entrar', 'app', 'alguem', 'saber', 'informar', 'passar', 'instabilidade', 'coisa', 'tipo']"
achei horrivel app tirou opcao print tela essencial funcao flexibilidade dia dia,anger,negative,"['achar', 'horrivel', 'app', 'tirar', 'opcao', 'print', 'tela', 'essencial', 'funcao', 'flexibilidader', 'dia', 'dia']"
nao recomendo app investimentos bolsa valores nao atualizam valores ficamos cega fazer qualquer aplicacao nao nenhum meio comunicacao app falta interesse descanso usuarios,disgust,negative,"['nao', 'recomendar', 'app', 'investimento', 'Bolsa', 'nao', 'atualizar', 'valor', 'ficar', 'cega', 'fazer', 'aplicacao', 'meio', 'comunicacao', 'app', 'faltar', 'interesse', 'descanso', 'usuario']"
faltam informacoes sobre rendimentos caixinhas nao mostra rendimentos diarios so rendimento total acho vou ter migrar mercado pago nesse quesito mercado pago mil vezes melhor,disgust,negative,"['faltar', 'informacoes', 'rendimento', 'caixinha', 'mostrar', 'rendimento', 'diario', 'rendimento', 'total', 'achar', 'ter', 'migrar', 'mercado', 'pagar', 'quesito', 'mercado', 'pagar', 'vez', 'bom']"
tendo problemas envio comprovante whatsapp ocorre erro ato envio unica medida atualmente sendo realizar upload atraves google fotos so assim enviar,disgust,negative,"['ter', 'problema', 'envio', 'comprovante', 'whatsapp', 'ocorrer', 'erro', 'ato', 'envio', 'unico', 'medida', 'atualmente', 'realizar', 'upload', 'atrave', 'google', 'foto', 'assim', 'enviar']"
decepcionado app nao envia comprovante whatsapp nao opcao print entei contato canal atendimento sinal ruim nao reslveu nada ponto desinstalar app trabalhar outro banco digital,anger,negative,"['decepcionar', 'app', 'enviar', 'comprovante', 'whatsapp', 'print', 'entar', 'contato', 'canal', 'atendimento', 'sinal', 'ruim', 'reslver', 'nada', 'ponto', 'desinstalar', 'trabalhar', 'banco', 'digital']"
app bom assim outros usuarios enfrentado problemas app tipo tela nao carrega fica branco sinto falta opcao organizacao financeira conta,sadness,positive,"['app', 'bom', 'assim', 'usuario', 'enfrentar', 'problema', 'app', 'tipo', 'telo', 'nao', 'carrega', 'ficar', 'branco', 'faltar', 'opcao', 'organizacao', 'financeiro', 'contar']"
app lento nunca nao sei impressao so desde copa mundo criado nubolao app apresenta lentidao nunca visto cliente desde,disgust,negative,"['app', 'lento', 'nunca', 'saber', 'copa', 'mundo', 'criar', 'app', 'apresentar', 'lentidao', 'nunca', 'ver', 'cliente']"
aplicativo quase bom demora eternidade resgatar dinheiro caixinhas extremamente inconveniente nao posso usar dinheiro hora quero sempre demora dois dias,disgust,negative,"['aplicativo', 'quase', 'bom', 'eternidade', 'resgatar', 'dinheiro', 'caixinha', 'extremamente', 'inconveniente', 'nao', 'poder', 'usar', 'dinheiro', 'hora', 'querer', 'sempre', 'demora', 'dia']"
nunca problemas app porem ultimamente nao consigo enviar comprovantes transferencia via whatsapp ja verifiquei atualizacoes tudo porem ainda nao consegui resolver problema,sadness,positive,"['nunca', 'problema', 'por', 'ultimamente', 'consigo', 'enviar', 'transferencia', 'vio', 'whatsapp', 'por', 'ainda', 'conseguir', 'resolver', 'problema']"
alguem dificuldade app desde ontem noite nao consigo entrar ja fiz tudo limpei tudo ate ja desinstalei instalei novamente quer redefine senha nao envia link informa q enviou nao envia pro email consigo pagar contas,disgust,negative,"['alguir', 'dificuldade', 'app', 'ontem', 'noite', 'nao', 'consigo', 'entrar', 'fiz', 'limpei', 'instalei', 'novamente', 'querer', 'enviar', 'link', 'informar', 'enviar', 'enviar', 'pro', 'email', 'com si', 'pagar', 'conta']"
app bugado dias ja dias fiz cadastro nada opcao cartao virtual conta bloqueada erro senha voces deveriam bloquear conta terceira tentativa incorreta voces nao protegem gente cliente so estressa gente,anger,negative,"['app', 'bugar', 'dia', 'dia', 'fiz', 'cadastro', 'nada', 'opcao', 'cartao', 'virtual', 'conta', 'bloquear', 'erro', 'ser', 'voce', 'dever', 'bloquear', 'conto', 'terceiro', 'tentativa', 'incorreto', 'voce', 'proteger', 'gente', 'cliente', 'gente']"
muitos problemas abrir app fica loop infinito nao abre nada chat falam bug temporario ja faz mes ta literalmente impossivel usar app to procurando outro banco pra migrar,disgust,negative,"['problema', 'abrir', 'app', 'ficar', 'infinito', 'naoer', 'abrir', 'nada', 'chat', 'falar', 'bug', 'temporario', 'fazer', 'literalmente', 'impossivel', 'usar', 'procurar', 'banco', 'migrar']"
bom dei estrelas porque incansavelmente peco aumento limite credito tempos nunca concedem embora incompativel renda demonstrados via recebimento pix trabalho ainda sim nada sim nada aumento apelar vira credito nubank lamentavel espero dia contemplada limite credito assim dar estrelas,sadness,positive,"['bom', 'dar', 'estrela', 'incansavelmente', 'pecar', 'aumento', 'limite', 'credito', 'tempo', 'nunca', 'conceder', 'incompativel', 'renda', 'demonstrar', 'via', 'recebimento', 'pix', 'trabalho', 'ainda', 'sim', 'sim', 'aumento', 'apelar', 'nubank', 'lamentavel', 'esperar', 'dia', 'contemplar', 'limite', 'credito', 'assim', 'dar', 'estrela']"
ultima atualizacao app ficou horrivel lento dando erro varias funcionalidades app banco todos problemas perde bastante credibilidade,disgust,negative,"['ultimo', 'atualizacao', 'App', 'ficar', 'horrivel', 'lento', 'dar', 'erro', 'vario', 'funcionalidade', 'app', 'banco', 'problema', 'perder', 'bastante', 'credibilidade']"
app deixado mao direto preciso abrir fazer pix exemplo dificilmente app abre hora preciso pessimo cogitando ate mudar banco,disgust,negative,"['app', 'deixar', 'mao', 'direto', 'preciso', 'abrir', 'fazer', 'pix', 'exemplo', 'dificilmente', 'app', 'abrir', 'hora', 'preciso', 'pessimo', 'cogitar', 'mudar', 'banco']"
pessimo aplicativo dificulta tudo tentando entrar aplicativo nao consigo porque apresenta falta internet tendo internet frustrante,disgust,negative,"['pessimo', 'aplicativo', 'dificultar', 'tentar', 'entrar', 'aplicativo', 'nao', 'consigo', 'apresentar', 'falta', 'Internet', 'ter', 'internet', 'frustrante']"
ultimamente ta ruim acessar aplicativo desapontei fica demorando entrar celular moderno poucos apps faco limpeza caches assim desinstalar instalar,disgust,negative,"['ultimamente', 'ruim', 'acessar', 'aplicativo', 'desapontar', 'ficar', 'demorar', 'entrar', 'celular', 'moderno', 'apps', 'faco', 'limpezo', 'Caches', 'assim', 'desinstalar', 'instalar']"
app bom ruim limite q nao aumenta ja anos movimento conta pago fatura alta cartao credito nubank ate hoje deu reais limite bom aplicativo facil lidar complicacoes,sadness,positive,"['app', 'bom', 'ruim', 'limite', 'aumentar', 'ano', 'contar', 'pagar', 'fatura', 'alto', 'Cartao', 'nubank', 'hoje', 'dar', 'real', 'limite', 'bom', 'aplicativo', 'facil', 'lidar', 'complicacoe']"
otima oportunidade conseguir limite inicial dificil conseguir aumento limite reais quase ano pede aumento app nunca aprovado nunca ouvi falar conta nubank conseguem aumento pede so aumenta consederem peca,sadness,positive,"['otimo', 'oportunidade', 'conseguir', 'limite', 'inicial', 'dificil', 'conseguir', 'aumento', 'limite', 'real', 'quase', 'ano', 'pedir', 'aumento', 'appr', 'nunca', 'aprovar', 'nunca', 'ouvir', 'falar', 'conta', 'conseguir', 'aumento', 'pedir', 'so', 'aumentar', 'conseder', 'peca']"
